C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-40.681630,-74.957171,-56.863695,-68.776167,-39.990558,-63.312137,-53.468345,-50.230071,-65.765238,-61.526904,-65.570894,-55.318035,0.000000
-46.332506,-77.172520,-62.448810,-70.789290,-42.564321,-63.886197,-55.753410,-52.873708,-67.997062,-62.478660,-69.684401,-61.651683,0.000000
-43.374477,-80.007810,-62.267676,-70.715052,-41.021881,-63.803873,-57.897167,-54.925137,-68.113048,-63.753323,-61.516060,-53.723836,0.000000
-45.178463,-79.261098,-62.132981,-74.176722,-44.771264,-63.923825,-56.870236,-53.568511,-69.897012,-67.685729,-68.141750,-58.425882,0.000000
-44.770295,-73.076707,-57.963993,-67.550870,-38.789607,-64.090692,-51.506204,-47.666462,-63.191993,-55.695941,-63.326772,-51.777946,0.000000
-40.083915,-77.125730,-55.722257,-69.036315,-38.101166,-64.147532,-50.757587,-47.213614,-62.440371,-57.641372,-62.268776,-50.741387,0.000000
-43.467789,-81.188192,-56.257039,-72.967518,-39.264167,-64.208388,-53.139289,-48.921442,-64.040607,-57.463866,-60.688743,-50.886010,0.000000
-45.443604,-77.692741,-55.403602,-70.192324,-37.484387,-64.308098,-53.538623,-47.890510,-61.666982,-53.282059,-61.180144,-51.588534,0.000000
-44.924208,-78.137303,-64.126018,-73.491833,-44.098814,-69.856736,-58.580962,-54.637201,-71.014006,-64.341444,-66.807841,-57.223423,0.000000
-44.434541,-77.605917,-56.316791,-70.025347,-40.935034,-64.293170,-51.319858,-48.130083,-64.356558,-60.913704,-62.692531,-54.727963,0.000000
-44.444220,-77.922035,-61.942406,-74.098556,-44.326717,-64.575435,-56.408562,-54.051718,-64.764001,-64.350583,-65.318117,-57.432545,0.000000
-44.755825,-77.924368,-61.869676,-72.288213,-45.810742,-64.132802,-60.188751,-55.500736,-69.772496,-69.108029,-74.295232,-57.770390,0.000000
-45.811778,-78.493018,-53.612289,-74.454689,-41.968330,-64.479106,-54.201168,-48.968553,-64.131231,-62.185541,-67.461273,-55.395933,0.000000
-40.510832,-76.790834,-58.332079,-73.237348,-42.119109,-64.219913,-53.151470,-54.068867,-66.380119,-59.639667,-67.278249,-56.706481,0.000000
-40.186571,-74.088426,-57.322973,-69.216520,-40.422134,-64.293094,-53.247558,-51.200794,-63.181424,-60.401210,-66.276235,-55.584033,0.000000
